Date,PM10
20040301,283.45 
20040302,22.29 
20040303,95.49 
20040304,76.29 
20040305,75.27 
20040306,122.22 
20040307,146.95 
20040308,305.20 
20040309,345.28 
20040310,124.23 
20040311,122.95 
20040312,347.95 
20040313,429.22 
20040314,340.78 
20040315,230.55 
20040316,52.13 
20040317,335.54 
20040318,206.68 
20040319,-999.00 
20040320,-999.00 
20040321,118.49 
20040322,58.48 
20040323,92.63 
20040324,69.71 
20040325,185.32 
20040326,778.93 
20040327,154.54 
20040328,194.73 
20040329,78.44 
20040330,478.37 
20040331,477.47 
20040401,122.65 
20040402,106.66 
20040403,207.54 
20040404,-999.00 
20040405,12.72 
20040406,-999.00 
20040407,105.04 
20040408,225.45 
20040409,677.42 
20040410,48.55 
20040411,83.85 
20040412,40.70 
20040413,38.53 
20040414,91.46 
20040415,75.66 
20040416,161.58 
20040417,164.00 
20040418,-999.00 
20040419,122.47 
20040420,-999.00 
20040421,-999.00 
20040422,77.30 
20040423,712.25 
20040424,359.75 
20040425,105.24 
20040426,92.85 
20040427,717.50 
20040428,117.09 
20040429,46.82 
20040430,65.52 
20040501,19.16 
20040502,47.14 
20040503,37.63 
20040504,47.00 
20040505,57.74 
20040506,225.21 
20040507,120.33 
20040508,542.44 
20040509,70.86 
20040510,82.53 
20040511,25.71 
20040512,260.62 
20040513,117.14 
20040514,480.22 
20040515,277.79 
20040516,67.30 
20040517,95.54 
20040518,107.11 
20040519,67.98 
20040520,207.72 
20040521,220.08 
20040522,178.81 
20040523,388.10 
20040524,26.76 
20040525,83.47 
20040526,72.11 
20040527,95.01 
20040528,76.09 
20040529,98.54 
20040530,498.48 
20040531,263.00 
20050301,42.07 
20050302,-999.00 
20050303,17.63 
20050304,95.55 
20050305,80.77 
20050306,170.12 
20050307,154.23 
20050308,132.95 
20050309,166.12 
20050310,743.85 
20050311,141.38 
20050312,94.25 
20050313,111.28 
20050314,37.93 
20050315,9.69 
20050316,22.10 
20050317,36.15 
20050318,89.34 
20050319,59.81 
20050320,40.14 
20050321,37.30 
20050322,18.69 
20050323,188.17 
20050324,301.85 
20050325,122.70 
20050326,159.12 
20050327,44.11 
20050328,75.78 
20050329,103.89 
20050330,127.82 
20050331,77.60 
20050401,84.91 
20050402,44.98 
20050403,52.68 
20050404,105.99 
20050405,142.54 
20050406,244.36 
20050407,130.58 
20050408,33.31 
20050409,81.20 
20050410,52.76 
20050411,106.10 
20050412,42.50 
20050413,46.57 
20050414,61.37 
20050415,103.11 
20050416,109.63 
20050417,286.30 
20050418,261.35 
20050419,83.55 
20050420,136.56 
20050421,72.07 
20050422,160.17 
20050423,27.50 
20050424,28.88 
20050425,55.48 
20050426,41.45 
20050427,36.63 
20050428,44.46 
20050429,53.73 
20050430,62.85 
20050501,77.12 
20050502,63.71 
20050503,286.32 
20050504,68.04 
20050505,7.48 
20050506,48.05 
20050507,83.78 
20050508,67.60 
20050509,74.26 
20050510,13.83 
20050511,70.04 
20050512,39.65 
20050513,74.48 
20050514,89.03 
20050515,48.07 
20050516,44.73 
20050517,51.19 
20050518,64.94 
20050519,48.29 
20050520,46.26 
20050521,85.82 
20050522,195.59 
20050523,76.92 
20050524,89.12 
20050525,91.87 
20050526,181.80 
20050527,348.36 
20050528,45.35 
20050529,79.86 
20050530,68.92 
20050531,71.41 
20060301,112.71 
20060302,95.95 
20060303,110.41 
20060304,109.81 
20060305,79.00 
20060306,103.10 
20060307,92.22 
20060308,109.56 
20060309,173.47 
20060310,289.79 
20060311,158.46 
20060312,112.97 
20060313,189.27 
20060314,384.26 
20060315,445.20 
20060316,1371.71 
20060317,721.38 
20060318,682.55 
20060319,484.56 
20060320,142.09 
20060321,70.26 
20060322,191.65 
20060323,144.45 
20060324,173.27 
20060325,100.15 
20060326,76.31 
20060327,89.46 
20060328,104.09 
20060329,145.37 
20060330,242.53 
20060331,121.87 
20060401,108.28 
20060402,108.85 
20060403,69.37 
20060404,221.34 
20060405,479.57 
20060406,184.23 
20060407,105.11 
20060408,370.52 
20060409,2164.75 
20060410,2091.37 
20060411,120.34 
20060412,264.23 
20060413,775.27 
20060414,908.83 
20060415,489.42 
20060416,512.88 
20060417,447.34 
20060418,180.09 
20060419,517.30 
20060420,278.09 
20060421,132.68 
20060422,158.69 
20060423,219.62 
20060424,347.55 
20060425,109.94 
20060426,88.01 
20060427,207.97 
20060428,407.13 
20060429,300.32 
20060430,121.29 
20060501,76.93 
20060502,79.47 
20060503,170.54 
20060504,115.50 
20060505,125.18 
20060506,206.63 
20060507,88.72 
20060508,7.48 
20060509,7.18 
20060510,17.60 
20060511,2.73 
20060512,29.78 
20060513,34.55 
20060514,135.14 
20060515,213.57 
20060516,83.94 
20060517,71.37 
20060518,335.40 
20060519,90.90 
20060520,182.28 
20060521,53.91 
20060522,76.36 
20060523,60.54 
20060524,105.85 
20060525,54.11 
20060526,35.75 
20060527,52.71 
20060528,58.63 
20060529,64.82 
20060530,69.21 
20060531,70.73 
