STATION,ICAO,LAT,LON,ELEV,M,PRIORITY,CD,COUNTRY
ADAK NAS,PADK,51.88 ,-176.65 ,4,X,7,AK,US
AKHIOK,PAKH,56.93 ,-154.18 ,14,X,8,AK,US
AMBLER,PAFM,67.10 ,-157.85 ,88,X,7,AK,US
ANAKTUVUK PASS,PAKP,68.13 ,-151.73 ,642,X,7,AK,US
ANCHORAGE INTL,PANC,61.17 ,-150.02 ,38,X,5,AK,US
ANCHORAGE/LAKE H,PALH,61.18 ,-149.97 ,22,X,7,AK,US
ANCHORAGE/MERRIL,PAMR,61.22 ,-149.85 ,41,X,7,AK,US
ANGOON SEAPLANE,PAGN,57.50 ,-134.58 ,2,X,8,AK,US
ANIAK,PANI,61.58 ,-159.53 ,26,X,7,AK,US
ANNETTE ISLAND,PANT,55.03 ,-131.57 ,36,X,5,AK,US
ANVIK,PANV,62.65 ,-160.18 ,99,X,7,AK,US
ARCTIC VILLAGE,PARC,68.12 ,-145.58 ,636,X,7,AK,US
ATQASUK BURNELL,PATQ,70.47 ,-157.43 ,29,X,7,AK,US
ATKA,PAAK,52.22 ,-174.20 ,17,X,7,AK,US
BARROW,PABR,71.30 ,-156.78 ,7,X,5,AK,US
BARTER ISLAND,PABA,70.13 ,-143.58 ,2,X,7,AK,US
BETHEL,PABE,60.78 ,-161.80 ,41,X,5,AK,US
BETTLES,PABT,66.92 ,-151.52 ,195,X,6,AK,US
BIG RIVER LAKES,PALV,60.82 ,-152.30 ,12,X,7,AK,US
BIRCHWOOD,PABV,61.42 ,-149.52 ,29,X,7,AK,US
BUCKLAND,PABL,65.98 ,-161.15 ,7,X,7,AK,US
CANTWELL,PATW,63.38 ,-148.95 ,668,X,7,AK,US
CAPE LISBURNE,PALU,68.88 ,-166.13 ,3,X,6,AK,US
CAPE NEWENHAM,PAEH,58.65 ,-162.07 ,161,X,6,AK,US
CAPE ROMANZOF,PACZ,61.78 ,-166.03 ,146,X,6,AK,US
CENTRAL,PARL,65.57 ,-144.78 ,284,X,7,AK,US
CENTRAL,PACE,65.57 ,-144.78 ,286,X,7,AK,US
CHANDALAR LAKE,PALR,67.50 ,-148.48 ,585,X,7,AK,US
CHEVAK,PAVA,61.53 ,-165.60 ,23,X,7,AK,US
CHIGNIK BAY,PAJC,56.32 ,-158.37 ,15,X,7,AK,US
CIRCLE/PAFC RFC,PACR,65.83 ,-144.07 ,182,X,7,AK,US
COLD BAY,PACD,55.20 ,-162.72 ,30,X,5,AK,US
CORDOVA,PACV,60.50 ,-145.50 ,12,X,6,AK,US
DEADHORSE,PASC,70.20 ,-148.47 ,15,X,6,AK,US
DEERING,PADE,66.07 ,-162.77 ,5,X,7,AK,US
DELTA JUNCTION,PABI,64.00 ,-145.73 ,386,X,6,AK,US
DILLINGHAM,PADL,59.05 ,-158.52 ,26,X,6,AK,US
EAGLE,PAEG,64.78 ,-141.15 ,268,X,7,AK,US
EARECKSON/SHEMYA,PASY,52.72 ,174.12 ,31,X,5,AK,US
EGEGIK,PAII,58.18 ,-157.38 ,30,X,7,AK,US
