STATION NAME                     ,WMO_ID, CN ,TYPE,LAT,LON,ELVATION
                        GRAHUKEN ,01002, NORWAY ,SA,79.78333 ,14.46667 ,
                        HORNSUND ,01003, NORWAY ,SA,77.00000 ,15.50000 ,10 
                         EDGEOYA ,01006, NORWAY ,SA,78.23333 ,22.78333 ,
                      NY ALESUND ,01007, NORWAY ,SA,78.91667 ,11.93333 ,
                       PHIPPSOYA ,01009, NORWAY ,SA,80.68333 ,20.86667 ,4 
                         KVITOYA ,01011, NORWAY ,SA,80.10000 ,31.40000 ,16 
                   HEKKINGEN FYR ,01015, NORWAY ,SA,69.60000 ,17.83333 ,14 
             SENJA-GRASMYRSKOGEN ,01016, NORWAY ,SA,69.28333 ,17.76667 ,50 
                          TROMSO ,01026, NORWAY ,SA,69.65000 ,18.93333 ,103 
                     TORSVAG FYR ,01033, NORWAY ,SA,70.25000 ,19.50000 ,21 
                FUGLOYKALVEN FYR ,01034, NORWAY ,SA,70.31667 ,20.15000 ,37 
                          OTEREN ,01035, NORWAY ,SA,69.25000 ,19.88333 ,12 
                  NODREISA-OYENG ,01041, NORWAY ,SA,69.73333 ,21.01667 ,5 
                           LOPPA ,01043, NORWAY ,SA,70.33333 ,21.46667 ,10 
         NORDSTRAUM I KVAENANGEN ,01045, NORWAY ,SA,69.83333 ,21.88333 ,6 
                     SUOLOVUOPMI ,01051, NORWAY ,SA,69.58333 ,23.53333 ,374 
                   FRUHOLMEN FYR ,01055, NORWAY ,SA,71.10000 ,24.00000 ,13 
                  CUOVDDATMOHKKI ,01057, NORWAY ,SA,69.36667 ,24.43333 ,286 
                        KARASJOK ,01065, NORWAY ,SA,69.46667 ,25.50000 ,129 
                      HELNES FYR ,01066, NORWAY ,SA,71.06667 ,26.23333 ,33 
                    RUSTEFJELBMA ,01075, NORWAY ,SA,70.40000 ,28.20000 ,9 
                     SLETNES FYR ,01078, NORWAY ,SA,71.08333 ,28.23333 ,8 
                     MAKKAUR FYR ,01092, NORWAY ,SA,70.70000 ,30.08333 ,9 
                           VARDO ,01098, NORWAY ,SA,70.36667 ,31.10000 ,14 
                     SKLINNA FYR ,01102, NORWAY ,SA,65.20000 ,11.00000 ,23 
                            LEKA ,01103, NORWAY ,SA,65.10000 ,11.70000 ,47 
                         ROST II ,01106, NORWAY ,SA,67.50000 ,12.08333 ,10 
                    VEGA-VALLSJO ,01108, NORWAY ,SA,65.70000 ,11.85000 ,2 
                 YTTERHOLMEN FYR ,01110, NORWAY ,SA,66.00000 ,11.68333 ,33 
                           MYKEN ,01115, NORWAY ,SA,66.75000 ,12.48333 ,17 
                    NORD-SOLVAER ,01121, NORWAY ,SA,66.40000 ,12.61667 ,10 
                    MAJAVATN III ,01134, NORWAY ,SA,65.18333 ,13.41667 ,339 
                           STOTT ,01137, NORWAY ,SA,66.93333 ,13.45000 ,12 
                  TENNHOLMEN FYR ,01138, NORWAY ,SA,67.30000 ,13.50000 ,14 
                 SUSENDAL-BJORMO ,01147, NORWAY ,SA,65.51667 ,14.01667 ,265 
                    RANA-BASMOEN ,01149, NORWAY ,SA,66.33333 ,14.10000 ,40 
                      LITLOY FYR ,01154, NORWAY ,SA,68.58333 ,14.30000 ,30 
              BO I VESTERALEN II ,01155, NORWAY ,SA,68.63333 ,14.46667 ,12 
                      SKROVA FYR ,01160, NORWAY ,SA,68.15000 ,14.65000 ,11 
                        SORTLAND ,01167, NORWAY ,SA,68.70000 ,15.41667 ,3 
                         SALTDAL ,01169, NORWAY ,SA,66.85000 ,15.31667 ,81 
                FINNOY I HAMAROY ,01172, NORWAY ,SA,68.00000 ,15.61667 ,53 
                NARVIK / FRAMNES ,01193, NORWAY ,SA,68.43333 ,17.40000 ,3 
                       TENNEVOLL ,01196, NORWAY ,SA,68.75000 ,17.81667 ,21 
                      SIHCAJAVRI ,01199, NORWAY ,SA,68.75000 ,23.53333 ,382 
                        KRAKENES ,01203, NORWAY ,SA,62.03333 ,4.98333 ,41 
                      SVINOY FYR ,01205, NORWAY ,SA,62.33333 ,5.26667 ,38 
                          ONA II ,01212, NORWAY ,SA,62.86667 ,6.53333 ,13 
                         TAFJORD ,01218, NORWAY ,SA,62.23333 ,7.41667 ,15 
                     SKALMEN FYR ,01224, NORWAY ,SA,63.46667 ,7.75000 ,13 
                  TINGVOLL-HANEM ,01227, NORWAY ,SA,62.83333 ,8.30000 ,69 
                            SULA ,01228, NORWAY ,SA,63.85000 ,8.46667 ,4 
                       LESJASKOG ,01231, NORWAY ,SA,62.23333 ,8.36667 ,621 
                     VINJEORA II ,01232, NORWAY ,SA,63.20000 ,9.00000 ,47 
                      FOKSTUA II ,01237, NORWAY ,SA,62.15000 ,9.28333 ,
                      FOKSTUA II ,01238, NORWAY ,SA,62.11667 ,9.28333 ,972 
                      HALTEN FYR ,01240, NORWAY ,SA,64.16667 ,9.41667 ,16 
                   OPPDAL-BJORKE ,01245, NORWAY ,SA,62.60000 ,9.68333 ,630 
                 BERKAK-LYNGHOLT ,01252, NORWAY ,SA,62.81667 ,10.01667 ,475 
                  BUHOLMRASA FYR ,01259, NORWAY ,SA,64.40000 ,10.45000 ,21 
                    NORDOYAN FYR ,01262, NORWAY ,SA,64.80000 ,10.55000 ,33 
                       TYNSET II ,01265, NORWAY ,SA,62.26667 ,10.76667 ,
                    SELBU-STUBBE ,01274, NORWAY ,SA,63.20000 ,11.11667 ,242 
                       STEINKJER ,01277, NORWAY ,SA,64.01667 ,11.45000 ,80 
                    VERDAL-REPPE ,01278, NORWAY ,SA,63.78333 ,11.66667 ,81 
                      NAMDALSEID ,01280, NORWAY ,SA,64.25000 ,11.20000 ,86 
                           ROROS ,01288, NORWAY ,SA,62.56667 ,11.38333 ,628 
                   MARAKER-UTSYN ,01292, NORWAY ,SA,63.41667 ,11.75000 ,239 
                   NORDLI-HOLAND ,01298, NORWAY ,SA,64.45000 ,13.71667 ,433 
                  YTTEROYANE FYR ,01304, NORWAY ,SA,61.56667 ,4.68333 ,26 
                    HELLISOY FYR ,01306, NORWAY ,SA,60.75000 ,4.71667 ,23 
                BERGEN / FLORIDA ,01317, NORWAY ,SA,60.38333 ,5.33333 ,12 
                           TAKLE ,01319, NORWAY ,SA,61.03333 ,5.38333 ,38 
                           STRYN ,01321, NORWAY ,SA,61.90000 ,6.55000 ,
                     FORDE-TEFRE ,01322, NORWAY ,SA,61.46667 ,5.91667 ,64 
         FORDE / BRINGELANDSASEN ,01323, NORWAY ,SA,61.40000 ,5.76667 ,31 
                      MODALEN II ,01325, NORWAY ,SA,60.83333 ,5.95000 ,114 
                      KVAMSKOGEN ,01328, NORWAY ,SA,60.40000 ,5.91667 ,408 
                       OMASTRAND ,01330, NORWAY ,SA,60.21667 ,5.98333 ,1 
                        VANGSNES ,01338, NORWAY ,SA,61.16667 ,6.65000 ,
                     EIDFJORD-BU ,01341, NORWAY ,SA,60.46667 ,6.86667 ,117 
                      REIMEGREND ,01344, NORWAY ,SA,60.68333 ,6.75000 ,590 
                       FINSEVATN ,01350, NORWAY ,SA,60.60000 ,7.53333 ,
                  LAERDAL-TONJUM ,01355, NORWAY ,SA,61.06667 ,7.51667 ,24 
