StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
JAN MAYEN,01001,6,EUROPE / EUROPE,70.92 ,-8.67 ,NORWAY / NORVEGE,6010,6821,0,9,10
JAN MAYEN,01001,6,EUROPE / EUROPE,70.92 ,-8.67 ,NORWAY / NORVEGE,6010,6822,1,,9
VERLEGENHUKEN,01002,6,EUROPE / EUROPE,80.05 ,16.25 ,NORWAY / NORVEGE,6010,6823,0,8,8
HORNSUND,01003,6,EUROPE / EUROPE,77.00 ,15.50 ,NORWAY / NORVEGE,6010,6824,0,11,10
NY-ALESUND II,01004,6,EUROPE / EUROPE,78.92 ,11.92 ,NORWAY / NORVEGE,6010,10284,1,,8
EDGEOYA,01006,6,EUROPE / EUROPE,78.25 ,22.82 ,NORWAY / NORVEGE,6010,6827,0,14,14
NY-ALESUND,01007,6,EUROPE / EUROPE,78.92 ,11.92 ,NORWAY / NORVEGE,6010,10285,0,7,8
SVALBARD AP,01008,6,EUROPE / EUROPE,78.25 ,15.47 ,NORWAY / NORVEGE,6010,6828,0,26,28
KARL XII OYA,01009,6,EUROPE / EUROPE,80.65 ,25.00 ,NORWAY / NORVEGE,6010,6829,0,,5
ANDOYA,01010,6,EUROPE / EUROPE,69.30 ,16.12 ,NORWAY / NORVEGE,6010,6830,0,13,10
KVITOYA,01011,6,EUROPE / EUROPE,80.07 ,31.50 ,NORWAY / NORVEGE,6010,15509,0,,10
HEKKINGEN LH,01015,6,EUROPE / EUROPE,69.60 ,17.83 ,NORWAY / NORVEGE,6010,6832,0,,14
KONGSOYA,01016,6,EUROPE / EUROPE,78.92 ,28.88 ,NORWAY / NORVEGE,6010,14670,0,,20
AKSELOYA,01017,6,EUROPE / EUROPE,77.68 ,14.78 ,NORWAY / NORVEGE,6010,14630,0,6,6
SVARTTANGEN,01019,6,EUROPE / EUROPE,77.52 ,20.82 ,NORWAY / NORVEGE,6010,14631,0,,20
SORKAPPOYA,01020,6,EUROPE / EUROPE,76.47 ,16.53 ,NORWAY / NORVEGE,6010,14671,0,,10
BARDUFOSS,01023,6,EUROPE / EUROPE,69.05 ,18.53 ,NORWAY / NORVEGE,6010,6834,0,76,76
TROMSO/LANGNES,01025,6,EUROPE / EUROPE,69.67 ,18.90 ,NORWAY / NORVEGE,6010,6835,0,8,8
TROMSO,01026,6,EUROPE / EUROPE,69.65 ,18.93 ,NORWAY / NORVEGE,6010,10469,0,114,100
TROMSO-HOLT,01027,6,EUROPE / EUROPE,69.65 ,18.90 ,NORWAY / NORVEGE,6010,15545,0,20,10
BJORNOYA,01028,6,EUROPE / EUROPE,74.52 ,19.00 ,NORWAY / NORVEGE,6010,6836,0,,18
BJORNOYA,01028,6,EUROPE / EUROPE,74.52 ,19.02 ,NORWAY / NORVEGE,6010,6837,1,15,16
TORSVAG LH,01033,6,EUROPE / EUROPE,70.23 ,19.50 ,NORWAY / NORVEGE,6010,6839,0,24,21
LYNGEN GJERDVASSBU,01035,6,EUROPE / EUROPE,69.33 ,20.05 ,NORWAY / NORVEGE,6010,15603,0,,710
SKIBOTN 2,01037,6,EUROPE / EUROPE,69.38 ,20.25 ,NORWAY / NORVEGE,6010,13266,0,4,5
ROGNSUNDET,01043,6,EUROPE / EUROPE,70.40 ,22.82 ,NORWAY / NORVEGE,6010,14622,0,,10
HASVIK AP,01044,6,EUROPE / EUROPE,70.48 ,22.13 ,NORWAY / NORVEGE,6010,15546,0,6,6
NORDSTRAUM I KVAENANGEN,01045,6,EUROPE / EUROPE,69.83 ,21.88 ,NORWAY / NORVEGE,6010,6844,0,,6
SORKJOSEN,01046,6,EUROPE / EUROPE,69.78 ,20.95 ,NORWAY / NORVEGE,6010,13653,0,4,6
KAUTOKEINO,01047,6,EUROPE / EUROPE,68.98 ,23.03 ,NORWAY / NORVEGE,6010,6846,0,307,307
ALTA LUFTHAVN,01049,6,EUROPE / EUROPE,69.97 ,23.35 ,NORWAY / NORVEGE,6010,6847,0,2,3
HAMMERFEST AP,01052,6,EUROPE / EUROPE,70.67 ,23.67 ,NORWAY / NORVEGE,6010,6849,0,79,81
FRUHOLMEN LH,01055,6,EUROPE / EUROPE,71.08 ,23.97 ,NORWAY / NORVEGE,6010,6850,0,14,13
CUOVDDATMOHKKI,01057,6,EUROPE / EUROPE,69.37 ,24.42 ,NORWAY / NORVEGE,6010,6851,0,,286
SUOLOVUOPMI LULIT,01058,6,EUROPE / EUROPE,69.57 ,23.53 ,NORWAY / NORVEGE,6010,13273,0,381,381
BANAK,01059,6,EUROPE / EUROPE,70.05 ,24.98 ,NORWAY / NORVEGE,6010,6852,0,7,5
HOPEN,01062,6,EUROPE / EUROPE,76.50 ,25.00 ,NORWAY / NORVEGE,6010,6853,0,10,6
KARASJOK,01065,6,EUROPE / EUROPE,69.45 ,25.50 ,NORWAY / NORVEGE,6010,6854,0,130,131
HONNINGSVAG AP,01068,6,EUROPE / EUROPE,71.00 ,25.97 ,NORWAY / NORVEGE,6010,15547,0,13,14
MEHAMN AP,01074,6,EUROPE / EUROPE,71.02 ,27.82 ,NORWAY / NORVEGE,6010,15548,0,13,11
RUSTEFJELBMA,01075,6,EUROPE / EUROPE,70.38 ,28.18 ,NORWAY / NORVEGE,6010,6858,0,11,10
