March 102 dssssss
   0    0    0   0
   1    0    0   0
   2    0    0   0
   3    0    0   0
   4    0    0   0
   5    0    0   0
   6    0    0   0
   7    0    0   0
   8    0    0   0
   9    0    0   0
  10    0    0   0
  11    0    0   0
  12    0    0   0
  13    0    0   0
  14    0    0   0
  15    0    0   0
  16    0    0   0
  17    0    0   0
  18    0    0   0
  19    0    0   0
  20    0    0   0
  21    0    0   0
  22    0    0   0
  23    0    0   0
  24    0    0   0
  25    0    0   0
  26    0    0   0
  27    0    0   0
  28    0    0   0
  29    0    0   0
  30    0    0   0
  31    0    0   0
  32    0    0   0
  33    0    0   0
  34    0    0   0
  35    0    0   0
  36    0    0   0
  37    0    0   0
  38    0    0   0
  39    0    0   0
  40    0    0   0
  41    0    0   0
  42    0    0   0
  43    0    0   0
  44    0    0   0
  45    0    0   0
  46    0    0   0
  47    0    0   0
  48    0    0   0
  49    0    0   0
  50    0    0   0
  51    0    0   0
  52    0    0   0
  53    0    0   0
  54    0    0   0
  55    0    0   0
  56    0    0   0
  57    0    0   0
  58    0    0   0
  59    0    0   0
  60    0    0   0
  61    0    0   0
  62    0    0   0
  63    0    0   0
  64    0    0   0
  65    0    0   0
  66    0    0   0
  67    0    0   0
  68    0    0   0
  69    0    0   0
  70    0    0   0
  71    0    0   0
  72    0    0   0
  73    0    0   0
  74    0    0   0
  75    0    0   0
  76    0    0   0
  77    0    0   0
  78    0    0   0
  79    0    0   0
  80    0    0   0
  81    0    0   0
  82    0    0   0
  83    0    0   0
  84  246  160   1
  85  246  160   1
  86  246  160   1
  87  246  160   1
  88  246  160   1
  89  246  160   1
  90  246  160   1
  91  246  160   1
  92  246  160   1
  93  246  160   1
  94  236  236   0
  95  236  236   0
  96  236  236   0
  97  236  236   0
  98  236  236   0
  99  236  236   0
 100  236  236   0
 101  236  236   0
 102  236  236   0
 103  236  236   0
 104    0  200   0
 105    0  200   0
 106    0  200   0
 107    0  200   0
 108    0  200   0
 109    0  200   0
 110    0  200   0
 111    0  200   0
 112    0  200   0
 113    0  200   0
 114    0  144   1
 115    0  144   1
 116    0  144   1
 117    0  144   1
 118    0  144   1
 119    0  144   1
 120    0  144   1
 121    0  144   1
 122    0  144   1
 123    0  144   1
 124    0  255 255
 125    0  255 255
 126    0  255 255
 127    0  255 255
 128    0  255 255
 129    0  255 255
 130    0  255 255
 131    0  255 255
 132    0  255 255
 133    0  255 255
 134    0  192 231
 135    0  192 231
 136    0  192 231
 137    0  192 231
 138    0  192 231
 139    0  192 231
 140    0  192 231
 141    0  192 231
 142    0  192 231
 143    0  192 231
 144    0  144 255
 145    0  144 255
 146    0  144 255
 147    0  144 255
 148    0  144 255
 149    0  144 255
 150    0  144 255
 151    0  144 255
 152    0  144 255
 153    0  144 255
 154    0    0 255
 155    0    0 255
 156    0    0 255
 157    0    0 255
 158    0    0 255
 159    0    0 255
 160    0    0 255
 161    0    0 255
 162    0    0 255
 163    0    0 255
 164    0    0 214
 165    0    0 214
 166    0    0 214
 167    0    0 214
 168    0    0 214
 169    0    0 214
 170    0    0 214
 171    0    0 214
 172    0    0 214
 173    0    0 214
 174    0    0 192
 175    0    0 192
 176    0    0 192
 177    0    0 192
 178    0    0 192
 179    0    0 192
 180    0    0 192
 181    0    0 192
 182    0    0 192
 183    0    0 192
 184  240    0 255
 185  240    0 255
 186  240    0 255
 187  240    0 255
 188  240    0 255
 189  240    0 255
 190  240    0 255
 191  240    0 255
 192  240    0 255
 193  240    0 255
 194  240  144 173
 195  240  144 173
 196  240  144 173
 197  240  144 173
 198  240  144 173
 199  240  144 173
 200  240  144 173
 201  240  144 173
 202  240  144 173
 203  240  144 173
 204  255  255 255
 205  255  255 255
 206  255  255 255
 207  255  255 255
 208  255  255 255
 209  255  255 255
 210  255  255 255
 211  255  255 255
 212  255  255 255
 213  255  255 255
 214  255  255 255
 215  255  255 255
 216  255  255 255
 217  255  255 255
 218  255  255 255
 219  255  255 255
 220  255  255 255
 221  255  255 255
 222  255  255 255
 223  255  255 255
 224  255  255 255
 225  255  255 255
 226  255  255 255
 227  255  255 255
 228  255  255 255
 229  255  255 255
 230  255  255 255
 231  255  255 255
 232  255  255 255
 233  255  255 255
 234  255  255 255
 235  255  255 255
 236  255  255 255
 237  255  255 255
 238  255  255 255
 239  255  255 255
 240  255  255 255
 241  255  255 255
 242  255  255 255
 243  255  255 255
 244  255  255 255
 245  255  255 255
 246  255  255 255
 247  255  255 255
 248  255  255 255
 249  255  255 255
 250  255  255 255
 251  255  255 255
 252  255  255 255
 253  255  255 255
 254  255  255 255
 255  255  255 255
